时间,PID,CPU(%),MEM(%)
2024-05-05 17:30:20,33315, 2.9, 1.5
2024-05-05 17:30:20,8498, 2.3, 0.3
2024-05-05 17:30:20,8511, 2.7, 0.6
2024-05-05 17:30:20,8516, 2.6, 0.5
2024-05-05 17:30:20,8530, 2.5, 0.5
2024-05-05 17:30:20,8541, 2.5, 0.5
2024-05-05 17:30:20,8549, 2.5, 0.5
2024-05-05 17:30:20,8557, 2.6, 0.5
2024-05-05 17:30:20,33315, 2.9, 1.5
2024-05-05 17:30:20,8498, 2.3, 0.3
2024-05-05 17:30:20,8511, 2.7, 0.6
2024-05-05 17:30:20,8516, 2.6, 0.5
2024-05-05 17:30:20,8530, 2.5, 0.5
2024-05-05 17:30:20,8541, 2.5, 0.5
2024-05-05 17:30:20,8549, 2.5, 0.5
2024-05-05 17:30:20,8557, 2.6, 0.5
2024-05-05 17:30:20,33315, 2.9, 1.5
2024-05-05 17:30:20,8498, 2.3, 0.3
2024-05-05 17:30:20,8511, 2.7, 0.6
2024-05-05 17:30:20,8516, 2.6, 0.5
2024-05-05 17:30:20,8530, 2.5, 0.5
2024-05-05 17:30:20,8541, 2.5, 0.5
2024-05-05 17:30:20,8549, 2.5, 0.5
2024-05-05 17:30:20,8557, 2.6, 0.5
2024-05-05 17:30:21,33315, 2.9, 1.5
2024-05-05 17:30:21,8498, 2.3, 0.3
2024-05-05 17:30:21,8511, 2.7, 0.6
2024-05-05 17:30:21,8516, 2.6, 0.5
2024-05-05 17:30:21,8530, 2.5, 0.5
2024-05-05 17:30:21,8541, 2.5, 0.5
2024-05-05 17:30:21,8549, 2.5, 0.5
2024-05-05 17:30:21,8557, 2.6, 0.5
2024-05-05 17:30:21,33315, 2.9, 1.5
2024-05-05 17:30:21,8498, 2.3, 0.3
2024-05-05 17:30:21,8511, 2.7, 0.6
2024-05-05 17:30:21,8516, 2.6, 0.5
2024-05-05 17:30:21,8530, 2.5, 0.5
2024-05-05 17:30:21,8541, 2.5, 0.5
2024-05-05 17:30:21,8549, 2.5, 0.5
2024-05-05 17:30:21,8557, 2.6, 0.5
2024-05-05 17:30:21,33315, 2.9, 1.5
2024-05-05 17:30:21,8498, 2.3, 0.3
2024-05-05 17:30:21,8511, 2.7, 0.6
2024-05-05 17:30:21,8516, 2.6, 0.5
2024-05-05 17:30:21,8530, 2.5, 0.5
2024-05-05 17:30:21,8541, 2.5, 0.5
2024-05-05 17:30:21,8549, 2.5, 0.5
2024-05-05 17:30:21,8557, 2.6, 0.5
2024-05-05 17:30:21,33315, 2.9, 1.5
2024-05-05 17:30:21,8498, 2.3, 0.3
2024-05-05 17:30:21,8511, 2.7, 0.6
